Email,Square_footage,Home_type,Cool_setting,Heat_setting,Zip_code
dnicka@sumace.com,113,apartment,73,67,20037
dnunlee@isdom.com,2420,house,73,73,13123
dogg@inity.com,1214,house,,64,62684
dogg@year-job.com,840,apartment,71,72,35068
dpaa@labdrill.com,2284,townhome,,70,93202
dpagliuca@plussunin.com,291,mobile home,72,69,62450
dpagliuca@stanredtax.com,3539,apartment,,70,35618
dpalaia@betatech.com,1028,house,73,,77340
dpalaspas@fasehatice.com,601,apartment,75,78,1222
dperruzza@scotfind.com,342,mobile home,,71,26571
dplumer@plussunin.com,3821,house,73,75,19079
dpolidori@sumace.com,788,house,,70,49780
dpontoriero@plexzap.com,1467,townhome,,73,16034
dpoquette@stanredtax.com,1650,house,,69,68702
drauser@treequote.com,678,house,75,72,45503
draymo@betatech.com,550,apartment,,69,6010
draymo@cancity.com,1045,apartment,73,68,28635
dregusters@donquadtech.com,1364,house,73,,84315
dreiber@openlane.com,607,townhome,,75,46920
drestrepo@scotfind.com,839,house,72,70,71354
drhym@groovestreet.com,1152,apartment,72,69,5061
drhym@sunnamplex.com,1309,house,,76,49705
drim@green-plus.com,1759,house,73,,13093
drim@zathunicon.com,2228,apartment,,73,71256
drochin@cancity.com,662,townhome,71,75,38140
drochin@j-texon.com,1481,house,,74,94104
drodefer@fasehatice.com,1380,house,,72,68440
drodefer@statholdings.com,212,mobile home,71,76,20080
drodenberger@doncon.com,1483,townhome,72,71,57774
drulapaugh@conecom.com,647,house,71,75,90305
dryser@zoomit.com,925,house,73,,98181
dsahagun@finjob.com,672,townhome,72,72,31415
dsama@betatech.com,1357,house,76,76,55612
dsamara@finhigh.com,1419,townhome,,69,95866
dsamu@finjob.com,1876,house,75,,28303
dsaras@rantouch.com,1543,house,70,,30449
dsayaphon@dalttechnology.com,817,house,,74,75258
dschemmer@iselectrics.com,991,townhome,73,,2181
dschemmer@streethex.com,1593,townhome,69,69,603
dschirpke@donquadtech.com,862,townhome,73,76,54495
dschmaltz@donware.com,1022,house,,71,19564
dscipione@labdrill.com,2615,house,71,73,98617
dscriven@doncon.com,1167,house,,,20754
dseewald@plexzap.com,463,apartment,,72,2648
dsemidey@singletechno.com,719,townhome,72,75,84653
dsengbusch@mathtouch.com,630,townhome,73,68,938
dshadrick@rantouch.com,1198,condominium,74,69,73848
dshealy@doncon.com,1050,townhome,,78,75462
dshin@sonron.com,473,condominium,,75,99110
dshinko@ontomedia.com,1333,condominium,71,76,85930
dshinko@zotware.com,394,apartment,69,78,29123
dsilvestrini@betasoloin.com,485,apartment,,73,8107
dskulski@finhigh.com,1141,house,74,70,20372
dskursky@conecom.com,2610,house,72,76,16021
dskursky@konex.com,2293,house,71,76,66047
dslayton@xx-holding.com,1107,townhome,76,69,30212
dslusarski@doncon.com,391,apartment,73,75,62555
dsmith@silis.com,130,mobile home,72,68,39066
dspickerman@fasehatice.com,1073,apartment,,74,22310
dsteffensmeier@cancity.com,1591,townhome,75,,18762
dsteier@openlane.com,576,apartment,74,,98628
dstem@y-corporation.com,847,house,72,,10166
dstimmel@dalttechnology.com,1287,apartment,74,65,13612
dstimmel@isdom.com,1550,house,70,73,37779
dstrassner@plussunin.com,625,townhome,72,71,49614
dsweigard@xx-holding.com,82,condominium,,73,17126
dsyrop@blackzim.com,722,townhome,71,71,19013
dsyrop@codehow.com,24,mobile home,70,,41651
dtagala@rantouch.com,573,condominium,,77,85284
dtagala@y-corporation.com,526,townhome,76,76,74565
dtawil@donware.com,1363,house,72,71,43518
dtimenez@gogozoom.com,471,apartment,,75,85629
dtoelkes@bioplex.com,527,townhome,74,74,12183
dtollner@ontomedia.com,892,house,76,71,45171
dtollner@plusstrip.com,543,apartment,,68,27502
dtollner@stanredtax.com,753,apartment,70,,18501
dtollner@sumace.com,730,house,72,,74533
dtollner@xx-zobam.com,1348,house,73,77,15691
dtomasulo@toughzap.com,2518,apartment,70,69,16935
dtreston@finhigh.com,700,house,,65,61911
dtreston@iselectrics.com,71,house,,75,47030
dturinetti@conecom.com,2147,apartment,69,72,93407
dturinetti@kan-code.com,579,condominium,73,73,8311
dupthegrove@newex.com,67,mobile home,,70,35762
dupthegrove@year-job.com,1250,townhome,75,71,60926
dvanheusen@streethex.com,895,apartment,73,,34208
dvarriano@dalttechnology.com,507,apartment,,72,57261
dvinning@dambase.com,236,mobile home,69,69,95155
dvinning@newex.com,186,townhome,72,67,98664
dvocelka@rangreen.com,493,condominium,73,71,52252
dwardrip@inity.com,2765,house,74,68,98250
dwaycott@newex.com,1808,townhome,73,74,12345
dwaymire@hatfan.com,1432,townhome,75,,81073
dweglarz@hatfan.com,1935,house,72,73,40259
dwenner@blackzim.com,1610,house,75,74,43759
dwenner@dambase.com,2653,house,68,66,6816
dwenner@mathtouch.com,1600,house,74,,41840
dwieser@kan-code.com,646,condominium,70,74,51063
dwieser@openlane.com,283,apartment,74,76,63348
dwiklund@kinnamplus.com,2514,townhome,,69,83873
dwiklund@xx-holding.com,1539,apartment,,71,62631
dyaw@treequote.com,360,apartment,69,,28586
dyglesias@opentech.com,431,apartment,75,,4924
dyglesias@sonron.com,1059,house,73,76,45783
dyori@bioholding.com,141,mobile home,72,72,16873
dyori@conecom.com,341,townhome,,72,72569
dyori@ganjaflex.com,1703,townhome,72,71,52004
dyori@iselectrics.com,213,townhome,,71,40010
dyori@stanredtax.com,1662,apartment,72,70,6781
dzane@j-texon.com,588,house,73,69,31320
dzepp@donware.com,1368,house,75,,83320
dzurcher@finjob.com,689,house,,,57301
dzurcher@plexzap.com,488,mobile home,70,75,69001
dzurcher@rundofase.com,1017,apartment,71,,91795
eagramonte@openlane.com,4424,house,73,76,65555
ealbares@stanredtax.com,1625,house,,73,4774
eamyot@sumace.com,2972,house,73,70,38060
earceo@kan-code.com,635,apartment,68,72,48422
ebaltimore@labdrill.com,406,mobile home,73,73,30222
ebayless@rundofase.com,657,apartment,72,75,16124
ebergesen@dontechi.com,840,house,76,74,58310
ebergesen@zoomit.com,429,mobile home,69,,79713
ebirkner@conecom.com,1059,condominium,71,73,75218
ebirkner@sumace.com,678,townhome,70,73,92202
ebitsuie@labdrill.com,1424,condominium,,72,10583
eblackwood@domzoom.com,1519,house,,66,5081
eblunk@cancity.com,905,apartment,,72,24005
eblunk@plusstrip.com,3949,townhome,73,71,44904
eboord@nam-zim.com,503,apartment,69,76,52586
ebreland@konex.com,813,townhome,71,74,72660
ebriddick@ontomedia.com,780,apartment,76,75,12859
ebrideau@conecom.com,166,mobile home,73,76,3830
ebuemi@plussunin.com,289,mobile home,71,73,30019
ebuemi@statholdings.com,449,townhome,75,65,84086
ebutt@iselectrics.com,186,condominium,71,68,80259
ecanlas@labdrill.com,868,apartment,74,71,27509
ecantres@blackzim.com,916,apartment,75,73,58759
ecartan@labdrill.com,834,apartment,,75,74440
ecartan@streethex.com,983,apartment,,70,92782
ecaudy@xx-holding.com,1070,house,75,,83223
echui@rangreen.com,177,mobile home,70,68,66699
echui@stanredtax.com,99,apartment,75,74,53150
ecoody@openlane.com,893,apartment,,,5763
ecoody@treequote.com,2025,condominium,,,75052
ecookey@doncon.com,800,condominium,71,72,59101
ecork@donquadtech.com,597,condominium,,74,40206
ecorrington@opentech.com,1275,house,73,,48050
ecorrio@rundofase.com,423,mobile home,72,65,54851
ecorrio@yearin.com,705,condominium,71,65,29052
ecousey@condax.com,1056,condominium,73,73,78409
ecoyier@dontechi.com,1540,house,74,76,93239
ecoyier@singletechno.com,817,house,74,74,52408
edarakjy@faxquote.com,1254,townhome,,73,20262
edarakjy@statholdings.com,1222,house,73,66,22724
edegroot@plussunin.com,809,condominium,,75,83214
edelasancha@betatech.com,1354,townhome,75,,35055
edeleo@kan-code.com,958,apartment,68,,24067
edemesa@labdrill.com,1017,apartment,73,,4668
edilello@doncon.com,1066,townhome,73,74,54536
edilliard@warephase.com,1444,house,72,74,35677
edopico@kan-code.com,1268,house,73,73,6856
edubaldi@zumgoity.com,807,apartment,72,73,38197
eduenas@bioplex.com,1114,townhome,,70,86341
eeanes@faxquote.com,1464,house,,70,32523
eehmann@fasehatice.com,619,apartment,,71,7885
eehmann@zotware.com,663,house,72,74,38182
eengelberg@bioholding.com,539,apartment,71,69,54661
eengelberg@inity.com,1852,house,74,72,4418
eengelberg@toughzap.com,742,townhome,,67,38473
eennaco@domzoom.com,588,apartment,73,72,90080
eeroman@yearin.com,3538,townhome,72,69,35116
efarrar@fasehatice.com,1412,house,70,71,67031
efeichtner@rangreen.com,858,condominium,75,73,37885
eferencz@newex.com,245,mobile home,,67,99670
efern@condax.com,597,house,,68,4650
efillingim@codehow.com,2276,apartment,,65,89712
efrancescon@rundofase.com,1381,apartment,70,76,82922
efrankel@kan-code.com,171,mobile home,,76,42011
efredicks@zencorporation.com,1423,house,,77,20182
egato@streethex.com,1638,apartment,72,73,2718
egleich@cancity.com,1545,house,,,78161
egotter@rundofase.com,1719,house,,71,12885
egudroe@green-plus.com,1736,house,,75,62017
ehagele@conecom.com,614,apartment,72,,5458
eharoldson@toughzap.com,1275,apartment,72,75,49776
eharoldson@treequote.com,619,house,70,76,57117
ehauenstein@donware.com,1350,apartment,74,70,99030
ehengel@streethex.com,364,mobile home,73,65,32596
eherritt@ron-tech.com,85,townhome,73,75,73007
ehoffis@groovestreet.com,753,apartment,72,73,60480
ehollack@doncon.com,620,mobile home,68,70,27534
ehoneywell@doncon.com,1226,house,75,75,83610
ehoopengardner@newex.com,766,apartment,72,76,42633
ehudnall@hottechi.com,1189,apartment,75,76,92369
ejayson@stanredtax.com,714,apartment,71,76,78021
ejeanty@donquadtech.com,949,apartment,,70,23327
ejeanty@donware.com,3516,townhome,,71,68375
ejurney@zotware.com,629,house,73,71,71356
ejuvera@konex.com,678,apartment,,75,23970
ekaniecki@plexzap.com,1295,house,74,76,6493
ekaniecki@rundofase.com,526,condominium,71,76,1071
ekannady@betatech.com,961,condominium,74,71,68418
ekardas@plussunin.com,257,townhome,73,67,23301
ekarpin@domzoom.com,1549,townhome,72,67,53520
ekarpin@lexiqvolax.com,637,townhome,,74,31744
ekeneipp@sunnamplex.com,1061,apartment,70,72,71545
ekippley@singletechno.com,75,apartment,,75,42220
eklusman@zoomit.com,175,mobile home,72,67,63934
ekohl@konmatfix.com,788,house,71,,95366
ekolmetz@konex.com,2462,townhome,73,78,38382
ekonopacki@plusstrip.com,1144,house,,69,22623
ekonopacki@rangreen.com,1245,apartment,,76,29438
ekonopacki@zumgoity.com,90,townhome,72,69,28025
ekownacki@donquadtech.com,1455,townhome,73,70,21160
ekulzer@toughzap.com,721,apartment,,75,71643
elabreche@hottechi.com,863,apartment,,72,48393
elacovara@ron-tech.com,1260,townhome,73,72,67761
elapage@mathtouch.com,1061,house,,78,47541
elietz@betasoloin.com,1091,house,72,68,61032
elindall@goodsilron.com,156,house,,,54123
elipke@blackzim.com,1797,house,76,74,98930
eloder@domzoom.com,1297,condominium,74,73,65625
elorens@hatfan.com,1764,house,75,69,36916
elorens@inity.com,735,townhome,76,69,47433
eluczki@faxquote.com,806,apartment,72,73,75159
emai@warephase.com,514,apartment,,67,39149
emaybury@hatfan.com,693,condominium,72,74,37722
emcdoniel@green-plus.com,1072,apartment,76,73,54556
emelnyk@dambase.com,2200,house,76,74,63640
ementer@fasehatice.com,561,house,74,75,19172
ementer@zumgoity.com,1007,apartment,,66,58775
emerced@silis.com,508,apartment,,,47124
emodzelewski@donquadtech.com,788,mobile home,72,76,55041
emodzelewski@scotfind.com,1307,townhome,,74,40110
emonterrubio@iselectrics.com,698,house,72,74,55340
emorocco@condax.com,1321,townhome,74,,43083
emoyd@dambase.com,2017,townhome,72,76,2154
emugnolo@scottech.com,807,townhome,74,69,2762
emulqueen@stanredtax.com,1057,house,70,,28411
emyricks@betatech.com,1129,house,73,71,68944
emyricks@dalttechnology.com,755,condominium,69,77,52728
enievas@rundofase.com,1174,townhome,72,73,16636
enunlee@dalttechnology.com,1783,apartment,71,76,12240
eogg@singletechno.com,759,townhome,75,74,33305
eoldroyd@dalttechnology.com,976,condominium,75,67,86023
eoles@sonron.com,1136,apartment,68,71,54171
epaa@zumgoity.com,1175,townhome,,70,37394
epagliuca@singletechno.com,512,condominium,72,,11020
epapasergi@zotware.com,141,house,,,90610
eparvis@funholding.com,89,apartment,74,70,59241
epedrozo@condax.com,73,mobile home,,75,4955
eperez@goodsilron.com,1433,apartment,,70,59348
eperez@newex.com,1010,condominium,70,76,59441
eperigo@iselectrics.com,1233,townhome,,72,58644
eperin@fasehatice.com,1499,apartment,73,,35292
eperin@golddex.com,1443,apartment,74,72,10173
eplumer@kinnamplus.com,1060,apartment,,68,52146
epolidori@rantouch.com,526,mobile home,71,68,45112
epontoriero@rundofase.com,1941,house,,70,92086
epoquette@codehow.com,248,mobile home,73,75,32936
epoullion@inity.com,167,house,,73,25514
eragel@yearin.com,907,house,73,,36202
eraymo@plussunin.com,501,apartment,74,71,77538
eregusters@dalttechnology.com,544,condominium,70,74,607
ereiber@zathunicon.com,3532,house,75,76,40488
erentfro@codehow.com,1117,apartment,73,,11025
erestrepo@xx-holding.com,587,townhome,,77,8347
erhymes@faxquote.com,865,apartment,,76,61434
eriden@stanredtax.com,81,apartment,,71,92554
erim@sunnamplex.com,934,townhome,74,71,20033
erim@zathunicon.com,975,house,72,69,71960
erodeigues@toughzap.com,927,townhome,73,75,2070
erodenberger@betasoloin.com,1185,apartment,,,53954
erowling@xx-holding.com,962,townhome,,76,71306
erulapaugh@dontechi.com,863,house,72,72,78721
erulapaugh@groovestreet.com,2003,house,,69,53045
erulapaugh@silis.com,2077,apartment,,69,4640
esamara@xx-holding.com,1345,house,75,66,77853
esaras@fasehatice.com,1138,condominium,,68,7646
esaras@funholding.com,1186,apartment,,,50398
esaras@y-corporation.com,1199,townhome,72,73,21075
esaulter@iselectrics.com,1202,townhome,,66,6043
eschemmer@zoomit.com,740,house,73,71,15622
eschieler@y-corporation.com,1912,apartment,70,76,25962
eschmaltz@streethex.com,69,house,70,75,55144
eschnitzler@zoomit.com,1122,house,74,72,68313
eschoeneck@warephase.com,1372,townhome,70,,38778
esemidey@dontechi.com,2226,house,72,,20418
esengbusch@betasoloin.com,1910,house,74,72,65623
esergi@newex.com,745,townhome,73,,61019
esimilton@blackzim.com,960,apartment,75,77,48363
eskursky@singletechno.com,1343,house,72,71,60706
espickerman@gogozoom.com,1303,apartment,73,74,27916
espringe@rantouch.com,1275,townhome,,69,8887
estaback@silis.com,2539,house,,71,63655
estaback@stanredtax.com,998,apartment,74,76,14107
esteier@newex.com,265,house,,73,62079
estem@labdrill.com,567,townhome,,67,65898
estem@zoomit.com,398,mobile home,75,76,27101
estenseth@statholdings.com,1981,house,73,67,84021
estimmel@stanredtax.com,160,townhome,69,70,63871
esuffield@groovestreet.com,305,apartment,74,72,8061
eswayze@sunnamplex.com,1509,house,,64,88221
esweely@labdrill.com,623,condominium,73,73,33538
etegarden@plexzap.com,1083,condominium,74,,75009
etheodorov@sumace.com,913,townhome,,71,7175
ethreets@xx-holding.com,1180,house,75,67,31002
ethyberg@rangreen.com,642,house,74,67,29944
ethyberg@xx-zobam.com,2193,condominium,73,70,62052
etillotson@ron-tech.com,2101,townhome,74,,18070
etoelkes@kinnamplus.com,681,townhome,72,72,50392
etolfree@treequote.com,1162,apartment,70,,46040
etollner@opentech.com,1684,house,71,64,24486
etoyama@y-corporation.com,670,apartment,,73,12302
etreston@cancity.com,1149,townhome,70,78,33443
etromblay@sonron.com,891,townhome,71,65,50647
eupthegrove@zumgoity.com,1935,townhome,,77,78721
evarriano@nam-zim.com,893,townhome,72,70,65211
evillanueva@hottechi.com,1083,condominium,75,75,77343
evillanueva@labdrill.com,60,apartment,69,71,23810
evillanueva@scottech.com,413,apartment,72,,16602
evocelka@opentech.com,1872,house,75,78,16159
ewalthall@betasoloin.com,767,apartment,71,78,640
ewardrip@ontomedia.com,1454,house,73,,2715
ewaymire@singletechno.com,1383,house,73,69,46511
ewide@groovestreet.com,2464,house,74,75,55331
ewolny@year-job.com,1154,apartment,72,74,2216
eyaw@treequote.com,1036,condominium,76,73,28305
eyum@plusstrip.com,489,apartment,71,71,45382
ezagen@doncon.com,3214,house,69,73,21275
ezagen@silis.com,580,apartment,75,74,5662
ezane@labdrill.com,958,apartment,75,,77708
ezepp@zathunicon.com,689,house,,76,62992
fabdallah@y-corporation.com,573,house,71,68,5833
fagramonte@fasehatice.com,143,townhome,72,70,53725
fandreason@kinnamplus.com,1175,house,74,72,35978
fankeny@year-job.com,479,mobile home,,70,13838
farceo@bioplex.com,2078,house,,70,76460
fauber@j-texon.com,110,house,75,72,89438
fbarfield@y-corporation.com,1425,house,71,75,6320
fbartolet@rundofase.com,1425,house,70,70,54149
fbartolet@xx-zobam.com,481,mobile home,,66,93291
fbirkner@streethex.com,517,condominium,75,,61342
fbitsuie@finhigh.com,1345,house,71,65,39110
fbitsuie@inity.com,800,house,,75,6517
fbriddick@bioplex.com,71,townhome,,77,15758
fbrossart@toughzap.com,1843,house,74,70,37659
fbubash@nam-zim.com,1072,apartment,,68,92083
fbuzick@hatfan.com,659,house,71,73,35031
fcallaro@groovestreet.com,732,townhome,73,74,40808
fcampain@mathtouch.com,327,mobile home,73,75,5776
fcaudy@newex.com,1791,townhome,72,69,22185
fcetta@lexiqvolax.com,523,apartment,75,67,45622
fchaffins@xx-holding.com,2180,house,70,,46283
fchaffins@zathunicon.com,2557,house,72,73,42410
fchui@conecom.com,3055,house,,71,36422
fcloney@rantouch.com,1154,house,68,69,40488
fcolaizzo@green-plus.com,723,house,74,76,53572
fcolla@statholdings.com,1737,house,74,,60639
fcomnick@plusstrip.com,1636,apartment,,70,56037
fcookey@rangreen.com,887,house,70,77,61942
fcorrio@plussunin.com,640,townhome,,75,24352
fdegonia@blackzim.com,967,house,71,74,29056
fdenooyer@newex.com,1484,condominium,,68,48234
fdinos@yearin.com,690,house,,76,64751
fdopico@statholdings.com,2011,house,76,73,24557
fdrymon@statholdings.com,543,apartment,76,69,52308
fduenas@labdrill.com,700,house,,,8850
fduenas@treequote.com,96,house,75,,67216
fennaco@mathtouch.com,994,apartment,71,,84717
fennaco@toughzap.com,1535,house,75,68,22211
feroman@newex.com,1408,apartment,,72,83126
feschberger@fasehatice.com,1133,condominium,72,72,12575
ffern@fasehatice.com,133,apartment,72,69,21790
ffigeroa@isdom.com,946,apartment,70,65,18471
ffigeroa@lexiqvolax.com,2135,condominium,74,74,95123
ffishburne@groovestreet.com,649,house,,73,20164
fflister@ganjaflex.com,1542,house,72,70,67574
ffortino@faxquote.com,968,apartment,73,78,10179
ffrankel@green-plus.com,1235,house,72,70,11726
ffrankel@kan-code.com,516,condominium,73,77,51462
ffredicks@ganjaflex.com,1563,apartment,71,74,85254
ffunnell@j-texon.com,1365,condominium,,74,43545
fgabisi@ontomedia.com,1636,apartment,71,,82834
fgood@mathtouch.com,2163,house,72,71,36125
fgrenet@konmatfix.com,3051,condominium,71,67,84732
fhamilton@golddex.com,427,mobile home,,69,91184
fharabedian@funholding.com,1963,house,,69,29601
fharabedian@xx-zobam.com,862,apartment,74,69,43140
fharnos@groovestreet.com,151,house,71,69,1854
fharoldson@sonron.com,2960,townhome,70,70,18942
fhaufler@donquadtech.com,3239,house,71,74,30734
fherritt@singletechno.com,1454,house,74,75,36047
fhixenbaugh@treequote.com,652,apartment,69,,15953
fhoffis@nam-zim.com,1130,condominium,72,74,15849
fhollack@sonron.com,752,apartment,,71,72863
fhughey@green-plus.com,957,apartment,72,,55443
finouye@y-corporation.com,980,apartment,72,,48316
fisenhower@betasoloin.com,1214,apartment,,,20543
fjeanty@domzoom.com,85,house,,,25844
fjurney@isdom.com,352,mobile home,73,73,83604
fjuvera@kinnamplus.com,443,apartment,76,72,90302
fkaniecki@plussunin.com,476,apartment,74,,70062
fkannady@treequote.com,1171,townhome,72,73,22738
fkines@iselectrics.com,87,townhome,71,66,76523
fklang@cancity.com,2504,townhome,71,71,37351
fklang@ganjaflex.com,520,apartment,73,67,1374
fkohnert@condax.com,2843,townhome,69,66,7981
fkolmetz@xx-holding.com,998,apartment,72,70,66227
fkusko@bioholding.com,597,apartment,,,93308
flary@doncon.com,1338,house,74,,41645
flatzke@mathtouch.com,1331,house,,73,81416
fleto@isdom.com,839,apartment,,,14034
fleto@sumace.com,455,apartment,75,68,95669
fliukko@toughzap.com,112,townhome,74,75,15456
flizama@dontechi.com,1966,townhome,70,66,47722
floder@openlane.com,737,house,73,74,79064
florens@lexiqvolax.com,731,house,72,71,63441
florens@y-corporation.com,1293,apartment,70,67,6877
flukasik@hatfan.com,176,house,,75,72865
fmaillard@codehow.com,933,condominium,,71,18433
fmalet@sunnamplex.com,740,condominium,,71,95463
fmarrier@condax.com,1647,house,73,69,29850
fmaybury@plusstrip.com,337,apartment,,69,18447
fmcdoniel@hatfan.com,96,condominium,68,73,21865
fmconnell@treequote.com,1615,apartment,74,74,41238
fmcrae@condax.com,721,house,74,74,62973
fmerced@iselectrics.com,1118,condominium,72,69,24324
fmerced@konmatfix.com,1692,condominium,71,77,63363
fmirafuentes@domzoom.com,52,condominium,72,69,24854
fmodzelewski@conecom.com,985,apartment,,71,56591
fmondella@dambase.com,1724,house,74,76,53946
fmorasca@domzoom.com,1226,house,74,73,10112
fmulqueen@donquadtech.com,665,house,72,74,47801
fnayar@lexiqvolax.com,104,condominium,,66,43357
fneither@statholdings.com,1028,apartment,,,30108
fnewville@bioplex.com,983,townhome,72,73,31914
fnewville@cancity.com,1992,apartment,71,,48865
fnunlee@dalttechnology.com,2398,house,72,72,19893
fohms@zumgoity.com,1241,apartment,73,68,44833
fonofrio@inity.com,3064,apartment,,66,50658
fpaskin@sumace.com,1021,apartment,72,68,56046
fpatak@bioplex.com,1496,house,,76,48176
fpaulas@ron-tech.com,603,apartment,73,76,23408
fpedrozo@bioholding.com,97,townhome,72,74,78067
fpedrozo@domzoom.com,960,house,,73,19371
fpedrozo@rundofase.com,749,apartment,,75,45867
fpelkowski@sumace.com,582,apartment,72,75,46502
fperruzza@codehow.com,1539,apartment,73,77,58507
fpontoriero@ron-tech.com,191,mobile home,71,65,65470
fpoquette@conecom.com,460,apartment,72,73,91896
fpoquette@rantouch.com,554,apartment,76,73,24986
fpoullion@iselectrics.com,1253,townhome,69,74,16738
freiber@ganjaflex.com,1675,apartment,72,76,28770
frentfro@donware.com,216,house,,75,48616
frowling@doncon.com,739,house,72,76,78565
frulapaugh@finjob.com,758,house,74,75,6334
frulapaugh@stanredtax.com,1475,townhome,74,74,54670
frulapaugh@streethex.com,1570,house,72,75,28672
fscriven@streethex.com,1731,house,72,72,84784
fseewald@condax.com,1669,house,70,77,62061
fseewald@goodsilron.com,505,apartment,74,69,6269
fshealy@labdrill.com,1555,townhome,76,75,24829
fshin@ganjaflex.com,389,apartment,74,72,65611
fshinko@iselectrics.com,1645,house,,78,46170
fsilvestrini@scotfind.com,178,mobile home,73,75,33624
fsimilton@toughzap.com,2780,house,71,75,94252
fslusarski@dalttechnology.com,2976,house,69,71,65560
fstem@isdom.com,1263,house,,,94662
fstem@zotware.com,1365,apartment,73,,99346
fstorment@rundofase.com,1415,apartment,,76,23038
fstrassner@bioholding.com,980,apartment,72,71,64865
ftawil@doncon.com,1250,condominium,,75,59701
ftimenez@isdom.com,697,house,69,67,79342
ftimenez@y-corporation.com,366,apartment,69,70,91301
ftoelkes@zotware.com,1180,townhome,72,78,3278
ftolfree@sunnamplex.com,795,apartment,72,69,40282
ftomasulo@ron-tech.com,161,apartment,73,76,55716
fvocelka@conecom.com,387,apartment,,75,92309
fwalthall@ganjaflex.com,1738,mobile home,,70,61576
fwaycott@betatech.com,933,townhome,,,86018
fweight@plussunin.com,62,apartment,,75,28434
fwenner@j-texon.com,946,townhome,74,73,45601
fwhobrey@plussunin.com,914,house,,75,80476
fwhobrey@streethex.com,2019,house,,,32776
fwiklund@groovestreet.com,464,mobile home,73,64,32170
fwildfong@inity.com,735,condominium,,74,33713
fwitten@rantouch.com,601,apartment,,66,74463
fwolny@yearin.com,993,house,72,70,81015
fworlds@stanredtax.com,952,condominium,69,78,59262
fyori@opentech.com,213,condominium,73,76,65299
fzagen@donquadtech.com,1122,townhome,72,,49565
gamyot@finjob.com,1665,house,,,23878
gamyot@nam-zim.com,475,apartment,,,55347
gandreason@conecom.com,657,townhome,71,74,57274
gankeny@rundofase.com,510,apartment,73,74,66012
garceo@funholding.com,866,townhome,71,71,37939
garceo@labdrill.com,818,apartment,,70,27019
garceo@treequote.com,1242,condominium,72,76,20061
garedondo@year-job.com,1857,house,,67,98233
gasar@cancity.com,885,apartment,73,69,17061
gasar@konmatfix.com,1017,condominium,71,69,41033
gauffrey@hottechi.com,1765,apartment,73,76,21502
gauffrey@konmatfix.com,1677,house,71,70,58792
gbachman@golddex.com,1504,house,,,21703
gbarfield@plexzap.com,1081,townhome,,,86510
gbarfield@statholdings.com,189,condominium,73,74,67862
gbatman@streethex.com,1227,house,71,75,19080
gbennick@ganjaflex.com,1315,house,70,,27012
gberlanga@silis.com,1131,condominium,,69,65501
gberray@hottechi.com,2039,house,73,70,98390
gbevelacqua@zencorporation.com,427,mobile home,,71,32763
gbiddy@donquadtech.com,245,mobile home,73,67,38053
gbolognia@year-job.com,1788,townhome,76,73,98503
gbookamer@streethex.com,563,townhome,71,70,42267
gborgman@singletechno.com,772,house,69,69,34984
gbrossart@goodsilron.com,682,condominium,70,65,20429
gbubash@rangreen.com,540,condominium,,76,68925
gburnard@cancity.com,561,apartment,,,33004
gbutt@plussunin.com,1320,apartment,,71,19341
gbutzen@streethex.com,1066,apartment,74,,26720
gbuzick@yearin.com,482,condominium,72,75,80234
gcaiafa@j-texon.com,930,apartment,70,73,72137
gcaldarera@lexiqvolax.com,2217,house,72,69,12257
gcaldarera@zathunicon.com,1431,apartment,68,72,54806
gcampain@fasehatice.com,886,townhome,71,,30517
gcampain@goodsilron.com,656,house,75,73,29353
gcandlish@ron-tech.com,863,condominium,76,70,17372
gcanlas@ganjaflex.com,453,apartment,,76,63966
gcaudy@doncon.com,1130,townhome,71,77,63782
gcetta@zoomit.com,370,apartment,72,70,48733
gchaffins@stanredtax.com,1868,house,,,30739
gchui@fasehatice.com,1154,townhome,68,67,27613
gchui@gogozoom.com,426,apartment,72,72,42376
gchui@ontomedia.com,1155,townhome,73,67,5675
gcolaizzo@xx-holding.com,841,house,69,71,1107
gcorrington@ontomedia.com,1618,house,73,64,66431
gcorrington@y-corporation.com,438,apartment,,,17105
gcorrio@plexzap.com,2067,apartment,,72,62314
gcousey@doncon.com,1034,apartment,,76,61333
gcousey@newex.com,1436,townhome,74,73,30619
gcoyier@cancity.com,592,apartment,76,73,7043
gcoyier@green-plus.com,638,house,,69,33567
gcoyier@groovestreet.com,2904,house,73,72,25802
gcronauer@xx-holding.com,2430,house,,,16046
gdelasancha@hottechi.com,2023,apartment,74,,19605
gdelasancha@j-texon.com,938,apartment,,73,5073
gdelasancha@scotfind.com,1698,house,76,69,12204
gdelasancha@scottech.com,1041,house,,,72149
gdelasancha@sumace.com,759,house,72,73,89123
gdevreese@finhigh.com,587,apartment,74,74,2177
gdilliard@groovestreet.com,886,apartment,71,68,34234
gdinos@zencorporation.com,680,house,71,72,31210
gdopico@warephase.com,1147,apartment,73,73,28079
gdopico@zathunicon.com,66,house,73,77,62656
gduenas@funholding.com,1968,house,75,67,29470
gduenas@iselectrics.com,842,apartment,72,77,72320
gduenas@lexiqvolax.com,157,apartment,69,75,62756
geanes@openlane.com,771,house,,,78055
gehmann@cancity.com,1509,house,,71,12201
gennaco@rundofase.com,1628,house,74,69,99066
geroman@donware.com,109,apartment,71,74,2375
geroman@xx-holding.com,68,townhome,71,76,31709
geschberger@donware.com,1970,apartment,74,74,17314
