Email,Power_order_num,Generation_type,Battery_storage,Avg_kwh
dacuff@warephase.com,1,solar-electric,52,37
dagramonte@toughzap.com,1,solar-electric,,101
dangalich@silis.com,1,solar-electric,33,76
dbevelacqua@silis.com,1,solar-electric,10,97
dbilden@kinnamplus.com,1,wind,43,22
dbilden@opentech.com,1,solar-electric,,18
dborgman@y-corporation.com,1,solar-electric,29,95
dborgman@zoomit.com,1,wind,,128
dbourbon@groovestreet.com,1,solar-electric,25,67
dbourbon@plusstrip.com,1,solar-electric,42,62
dbrachle@stanredtax.com,1,solar-electric,15,91
dbreland@inity.com,1,solar-electric,20,33
dbriddick@yearin.com,1,solar-electric,100,171
dbrossart@finjob.com,1,solar-electric,,50
dburnard@scottech.com,1,wind,28,57
dbuvens@iselectrics.com,1,solar-electric,,116
dbuvens@newex.com,1,solar-electric,,41
dcaiafa@ganjaflex.com,1,solar-electric,18,16
dcaldarera@isdom.com,1,solar-electric,,101
dcartan@plexzap.com,1,solar-electric,,61
dchesterfield@isdom.com,1,solar-electric,,56
dcomnick@rundofase.com,1,solar-electric,36,69
dcomnick@rundofase.com,2,solar-electric,,35
dcorrio@codehow.com,1,solar-electric,25,21
dcousey@finjob.com,1,solar-electric,29,73
dcousey@finjob.com,2,solar-electric,13,64
dcoyier@zathunicon.com,1,solar-electric,27,57
ddegonia@silis.com,1,solar-electric,87,151
ddevreese@fasehatice.com,1,solar-electric,18,87
ddinos@toughzap.com,1,wind,,101
ddiscipio@j-texon.com,1,solar-electric,21,35
dehmann@condax.com,1,solar-electric,,101
demard@scotfind.com,1,solar-electric,40,65
demard@zathunicon.com,1,wind,,85
demigh@xx-holding.com,1,solar-electric,88,49
dengelberg@rangreen.com,1,solar-electric,15,15
deroman@scotfind.com,1,solar-electric,15,95
destell@xx-zobam.com,1,solar-electric,,61
dfallick@toughzap.com,1,solar-electric,,24
dfarrow@labdrill.com,1,solar-electric,27,89
dfeichtner@toughzap.com,1,solar-electric,33,96
dfelger@y-corporation.com,1,wind,13,21
dfigeroa@plexzap.com,1,solar-electric,37,174
dfrancescon@plusstrip.com,1,wind,,72
dfrancescon@plusstrip.com,2,solar-electric,,115
dfredicks@j-texon.com,1,solar-electric,,87
dfredicks@j-texon.com,2,solar-electric,13,110
dgehrett@scotfind.com,1,wind,,58
dgellinger@conecom.com,1,wind,37,16
dgesick@rundofase.com,1,solar-electric,,133
dgibes@gogozoom.com,1,solar-electric,35,28
dgillaspie@lexiqvolax.com,1,wind,82,112
dgillian@faxquote.com,1,solar-electric,,51
dgillian@faxquote.com,2,solar-electric,19,20
dgleich@openlane.com,1,solar-electric,85,132
dgochal@bioholding.com,1,solar-electric,19,56
dgochal@toughzap.com,1,solar-electric,,56
dgoldammer@statholdings.com,1,solar-electric,15,15
dgood@gogozoom.com,1,solar-electric,57,61
dhamilton@zotware.com,1,solar-electric,,135
dharnos@rantouch.com,1,solar-electric,26,95
dhaufler@bioplex.com,1,solar-electric,31,89
dheintzman@nam-zim.com,1,solar-electric,39,117
dhengel@silis.com,1,solar-electric,18,181
dhirpara@xx-zobam.com,1,solar-electric,46,18
dhoa@groovestreet.com,1,solar-electric,55,23
dhughey@newex.com,1,solar-electric,40,38
disenhower@iselectrics.com,1,solar-electric,13,143
disenhower@opentech.com,1,wind,79,127
diturbide@isdom.com,1,solar-electric,98,152
djeanty@plusstrip.com,1,solar-electric,39,134
djuvera@xx-zobam.com,1,solar-electric,12,57
djuvera@zencorporation.com,1,solar-electric,91,20
dkines@gogozoom.com,1,solar-electric,53,121
dkines@rangreen.com,1,solar-electric,16,65
dkines@sunnamplex.com,1,solar-electric,,119
dkippley@plexzap.com,1,wind,19,20
dkitty@xx-holding.com,1,solar-electric,17,97
dkohnert@dambase.com,1,solar-electric,23,91
dkoppinger@blackzim.com,1,solar-electric,47,61
dkorando@inity.com,1,solar-electric,12,158
dkulzer@gogozoom.com,1,solar-electric,,90
dlary@scotfind.com,1,solar-electric,103,213
dleinenbach@zumgoity.com,1,solar-electric,16,90
dleto@ganjaflex.com,1,solar-electric,,43
dlother@konmatfix.com,1,wind,69,210
dlother@lexiqvolax.com,1,solar-electric,84,99
dluczki@ganjaflex.com,1,solar-electric,27,16
dluczki@plexzap.com,1,wind,40,37
dmaisto@stanredtax.com,1,solar-electric,16,67
dmaisto@stanredtax.com,2,solar-electric,32,18
dmalvin@domzoom.com,1,solar-electric,,69
dmalvin@domzoom.com,2,solar-electric,,101
dmanno@dontechi.com,1,wind,37,22
dmanno@ron-tech.com,1,wind,24,106
dmaynerich@xx-zobam.com,1,solar-electric,45,60
dmiceli@treequote.com,1,solar-electric,,80
dmorocco@faxquote.com,1,wind,17,110
dmyricks@hatfan.com,1,solar-electric,48,244
dnabours@year-job.com,1,solar-electric,,114
dnicka@sumace.com,1,solar-electric,26,147
dnunlee@isdom.com,1,solar-electric,19,98
dnunlee@isdom.com,2,solar-electric,,121
dogg@inity.com,1,solar-electric,,17
dogg@year-job.com,1,solar-electric,45,19
dpaa@labdrill.com,1,wind,19,107
dpagliuca@stanredtax.com,1,solar-electric,,60
dpalaia@betatech.com,1,solar-electric,62,25
dplumer@plussunin.com,1,solar-electric,24,87
dpolidori@sumace.com,1,solar-electric,36,113
dpontoriero@plexzap.com,1,wind,,58
dpoquette@stanredtax.com,1,wind,72,120
dreiber@openlane.com,1,solar-electric,,145
drestrepo@scotfind.com,1,solar-electric,,160
drim@green-plus.com,1,solar-electric,,19
drochin@j-texon.com,1,solar-electric,40,25
drodefer@statholdings.com,1,solar-electric,62,24
drulapaugh@conecom.com,1,wind,33,33
dryser@zoomit.com,1,solar-electric,12,18
dsamara@finhigh.com,1,solar-electric,17,35
dsamu@finjob.com,1,solar-electric,,20
dsamu@finjob.com,2,solar-electric,,55
dschemmer@iselectrics.com,1,solar-electric,13,146
dschirpke@donquadtech.com,1,solar-electric,110,149
dschmaltz@donware.com,1,solar-electric,95,73
dscipione@labdrill.com,1,solar-electric,32,34
dseewald@plexzap.com,1,solar-electric,39,92
dsemidey@singletechno.com,1,solar-electric,42,23
dshadrick@rantouch.com,1,solar-electric,76,88
dshealy@doncon.com,1,solar-electric,,82
dshin@sonron.com,1,solar-electric,,43
dshinko@zotware.com,1,solar-electric,,138
dsilvestrini@betasoloin.com,1,solar-electric,,20
dsilvestrini@betasoloin.com,2,solar-electric,,81
dskulski@finhigh.com,1,solar-electric,21,20
dskulski@finhigh.com,2,solar-electric,36,52
dskursky@conecom.com,1,solar-electric,37,18
dslusarski@doncon.com,1,solar-electric,13,70
dsteier@openlane.com,1,solar-electric,63,82
dsweigard@xx-holding.com,1,solar-electric,35,60
dsyrop@blackzim.com,1,wind,38,24
dsyrop@codehow.com,1,solar-electric,,22
dtagala@rantouch.com,1,solar-electric,33,89
dtawil@donware.com,1,wind,63,15
dtimenez@gogozoom.com,1,solar-electric,,95
dtoelkes@bioplex.com,1,solar-electric,,24
dtollner@ontomedia.com,1,solar-electric,20,41
dtollner@sumace.com,1,solar-electric,,89
dturinetti@conecom.com,1,solar-electric,47,17
dturinetti@conecom.com,2,wind,10,114
dturinetti@kan-code.com,1,solar-electric,41,22
dturinetti@kan-code.com,2,solar-electric,32,58
dupthegrove@newex.com,1,solar-electric,13,23
dupthegrove@year-job.com,1,solar-electric,42,121
dvanheusen@streethex.com,1,solar-electric,34,64
dvarriano@dalttechnology.com,1,wind,28,63
dvinning@dambase.com,1,solar-electric,,83
dwardrip@inity.com,1,solar-electric,13,16
dwardrip@inity.com,2,solar-electric,11,98
dwardrip@inity.com,3,solar-electric,46,19
dweglarz@hatfan.com,1,solar-electric,,94
dwenner@blackzim.com,1,solar-electric,20,110
dwenner@dambase.com,1,solar-electric,55,115
dwieser@openlane.com,1,wind,,24
dyaw@treequote.com,1,solar-electric,17,128
dyglesias@sonron.com,1,solar-electric,,61
dyori@iselectrics.com,1,solar-electric,15,134
dzurcher@finjob.com,1,solar-electric,20,69
dzurcher@plexzap.com,1,wind,,66
eamyot@sumace.com,1,solar-electric,19,27
earceo@kan-code.com,1,wind,36,115
ebaltimore@labdrill.com,1,wind,66,68
ebayless@rundofase.com,1,solar-electric,22,20
ebergesen@dontechi.com,1,solar-electric,15,36
ebergesen@zoomit.com,1,solar-electric,19,61
eblackwood@domzoom.com,1,solar-electric,34,55
ebreland@konex.com,1,solar-electric,25,41
ebriddick@ontomedia.com,1,solar-electric,25,20
ebuemi@plussunin.com,1,solar-electric,35,39
ecanlas@labdrill.com,1,solar-electric,,120
ecanlas@labdrill.com,2,solar-electric,13,47
ecantres@blackzim.com,1,solar-electric,,23
ecartan@streethex.com,1,wind,22,82
ecoody@treequote.com,1,solar-electric,19,36
ecookey@doncon.com,1,solar-electric,15,40
ecorrington@opentech.com,1,solar-electric,,128
ecoyier@dontechi.com,1,solar-electric,,18
ecoyier@dontechi.com,2,solar-electric,18,46
edarakjy@statholdings.com,1,solar-electric,,89
edegroot@plussunin.com,1,solar-electric,,85
edeleo@kan-code.com,1,solar-electric,,179
edemesa@labdrill.com,1,solar-electric,,92
edilello@doncon.com,1,solar-electric,19,107
edopico@kan-code.com,1,solar-electric,28,23
edubaldi@zumgoity.com,1,solar-electric,15,35
eehmann@fasehatice.com,1,solar-electric,26,18
eehmann@fasehatice.com,2,solar-electric,45,93
eengelberg@bioholding.com,1,solar-electric,40,74
eennaco@domzoom.com,1,solar-electric,44,70
eennaco@domzoom.com,2,solar-electric,,113
eeroman@yearin.com,1,wind,56,58
efarrar@fasehatice.com,1,wind,,57
efeichtner@rangreen.com,1,wind,,54
eferencz@newex.com,1,solar-electric,,124
efredicks@zencorporation.com,1,solar-electric,,70
efredicks@zencorporation.com,2,solar-electric,40,129
egleich@cancity.com,1,solar-electric,126,51
egotter@rundofase.com,1,solar-electric,19,65
egudroe@green-plus.com,1,wind,,19
ehagele@conecom.com,1,solar-electric,52,97
ehauenstein@donware.com,1,solar-electric,18,108
ehudnall@hottechi.com,1,solar-electric,66,162
ejayson@stanredtax.com,1,solar-electric,42,111
ejeanty@donquadtech.com,1,solar-electric,39,82
ejeanty@donware.com,1,solar-electric,14,102
ejeanty@donware.com,2,solar-electric,,63
ejurney@zotware.com,1,wind,,153
ekannady@betatech.com,1,solar-electric,77,20
ekardas@plussunin.com,1,solar-electric,,103
ekarpin@domzoom.com,1,solar-electric,14,95
ekeneipp@sunnamplex.com,1,solar-electric,29,43
ekohl@konmatfix.com,1,solar-electric,47,74
ekolmetz@konex.com,1,solar-electric,,122
ekonopacki@rangreen.com,1,solar-electric,44,44
ekonopacki@zumgoity.com,1,solar-electric,14,28
ekownacki@donquadtech.com,1,solar-electric,,22
ekownacki@donquadtech.com,2,solar-electric,,77
elabreche@hottechi.com,1,solar-electric,,100
elapage@mathtouch.com,1,solar-electric,25,19
elietz@betasoloin.com,1,solar-electric,61,126
elindall@goodsilron.com,1,wind,18,49
ementer@fasehatice.com,1,solar-electric,,36
emerced@silis.com,1,solar-electric,83,151
emodzelewski@donquadtech.com,1,wind,,51
emodzelewski@scotfind.com,1,solar-electric,13,69
emulqueen@stanredtax.com,1,solar-electric,29,111
emyricks@betatech.com,1,solar-electric,13,56
enunlee@dalttechnology.com,1,solar-electric,,85
eoldroyd@dalttechnology.com,1,solar-electric,28,15
epagliuca@singletechno.com,1,solar-electric,43,42
eperez@newex.com,1,solar-electric,,75
eperin@fasehatice.com,1,wind,21,118
eperin@golddex.com,1,solar-electric,17,20
eplumer@kinnamplus.com,1,solar-electric,74,83
epolidori@rantouch.com,1,wind,55,36
eraymo@plussunin.com,1,wind,60,109
ereiber@zathunicon.com,1,wind,,52
erentfro@codehow.com,1,solar-electric,21,72
erestrepo@xx-holding.com,1,solar-electric,102,111
erodenberger@betasoloin.com,1,solar-electric,17,76
erodenberger@betasoloin.com,2,solar-electric,19,116
erowling@xx-holding.com,1,solar-electric,10,25
erulapaugh@dontechi.com,1,solar-electric,18,108
erulapaugh@groovestreet.com,1,solar-electric,,33
erulapaugh@silis.com,1,solar-electric,,27
eschemmer@zoomit.com,1,solar-electric,93,56
eschieler@y-corporation.com,1,solar-electric,110,122
eschmaltz@streethex.com,1,solar-electric,21,32
eschnitzler@zoomit.com,1,solar-electric,44,89
esemidey@dontechi.com,1,solar-electric,33,63
esengbusch@betasoloin.com,1,solar-electric,,68
esimilton@blackzim.com,1,wind,17,24
esimilton@blackzim.com,2,solar-electric,12,46
eskursky@singletechno.com,1,solar-electric,,132
estaback@silis.com,1,solar-electric,24,60
estaback@stanredtax.com,1,solar-electric,24,58
esteier@newex.com,1,solar-electric,,70
estem@zoomit.com,1,solar-electric,51,57
estimmel@stanredtax.com,1,solar-electric,11,29
esuffield@groovestreet.com,1,solar-electric,94,155
eswayze@sunnamplex.com,1,solar-electric,,45
etegarden@plexzap.com,1,solar-electric,122,15
ethyberg@rangreen.com,1,solar-electric,35,20
etollner@opentech.com,1,solar-electric,25,21
etoyama@y-corporation.com,1,solar-electric,30,52
etromblay@sonron.com,1,solar-electric,14,27
eupthegrove@zumgoity.com,1,solar-electric,,73
evillanueva@hottechi.com,1,wind,17,22
evillanueva@scottech.com,1,solar-electric,32,65
evocelka@opentech.com,1,solar-electric,,110
ewalthall@betasoloin.com,1,solar-electric,,124
ewardrip@ontomedia.com,1,solar-electric,23,20
ezagen@silis.com,1,solar-electric,32,58
ezepp@zathunicon.com,1,solar-electric,28,73
fagramonte@fasehatice.com,1,solar-electric,,102
fankeny@year-job.com,1,solar-electric,26,45
farceo@bioplex.com,1,solar-electric,,27
fbarfield@y-corporation.com,1,solar-electric,33,105
fbirkner@streethex.com,1,solar-electric,,33
fbitsuie@finhigh.com,1,solar-electric,21,39
fbitsuie@inity.com,1,solar-electric,36,65
fbubash@nam-zim.com,1,solar-electric,14,73
fcampain@mathtouch.com,1,solar-electric,42,29
fchaffins@xx-holding.com,1,solar-electric,,61
fchui@conecom.com,1,solar-electric,,53
fcloney@rantouch.com,1,solar-electric,62,23
fcolaizzo@green-plus.com,1,solar-electric,30,24
fcorrio@plussunin.com,1,solar-electric,,84
fcorrio@plussunin.com,2,solar-electric,13,22
fdenooyer@newex.com,1,wind,17,65
fduenas@labdrill.com,1,solar-electric,20,27
fennaco@mathtouch.com,1,solar-electric,29,63
fennaco@toughzap.com,1,solar-electric,10,18
ffern@fasehatice.com,1,solar-electric,31,149
ffern@fasehatice.com,2,solar-electric,,38
ffigeroa@isdom.com,1,solar-electric,20,218
ffishburne@groovestreet.com,1,wind,19,68
fflister@ganjaflex.com,1,solar-electric,18,130
ffortino@faxquote.com,1,solar-electric,29,18
ffredicks@ganjaflex.com,1,solar-electric,30,125
fgabisi@ontomedia.com,1,solar-electric,26,19
fhamilton@golddex.com,1,solar-electric,36,24
fharabedian@xx-zobam.com,1,solar-electric,,16
fhaufler@donquadtech.com,1,solar-electric,,84
fherritt@singletechno.com,1,wind,,63
fhixenbaugh@treequote.com,1,wind,,81
finouye@y-corporation.com,1,solar-electric,21,95
fisenhower@betasoloin.com,1,solar-electric,,46
fjurney@isdom.com,1,solar-electric,,46
fjuvera@kinnamplus.com,1,solar-electric,,23
fkaniecki@plussunin.com,1,wind,34,21
fkannady@treequote.com,1,wind,,18
fkannady@treequote.com,2,wind,12,51
fklang@ganjaflex.com,1,solar-electric,15,98
flary@doncon.com,1,solar-electric,31,186
flatzke@mathtouch.com,1,solar-electric,21,115
fleto@isdom.com,1,solar-electric,29,136
fleto@sumace.com,1,solar-electric,19,77
flizama@dontechi.com,1,wind,,42
floder@openlane.com,1,solar-electric,20,41
florens@y-corporation.com,1,solar-electric,43,35
fmaillard@codehow.com,1,wind,33,78
fmalet@sunnamplex.com,1,solar-electric,18,52
fmalet@sunnamplex.com,2,solar-electric,19,88
fmcrae@condax.com,1,solar-electric,26,44
fmodzelewski@conecom.com,1,solar-electric,,35
fmorasca@domzoom.com,1,solar-electric,10,87
fmulqueen@donquadtech.com,1,solar-electric,34,87
fnewville@bioplex.com,1,solar-electric,55,20
fnunlee@dalttechnology.com,1,solar-electric,41,110
fonofrio@inity.com,1,solar-electric,,151
fpatak@bioplex.com,1,solar-electric,,54
fpatak@bioplex.com,2,wind,15,72
fpedrozo@domzoom.com,1,solar-electric,25,60
fpelkowski@sumace.com,1,solar-electric,38,84
fpontoriero@ron-tech.com,1,solar-electric,,115
fpoquette@conecom.com,1,solar-electric,33,37
fpoquette@conecom.com,2,solar-electric,19,66
fpoquette@rantouch.com,1,wind,,57
fpoullion@iselectrics.com,1,solar-electric,113,79
freiber@ganjaflex.com,1,solar-electric,19,98
frentfro@donware.com,1,solar-electric,15,42
frowling@doncon.com,1,solar-electric,11,17
frulapaugh@finjob.com,1,solar-electric,145,30
frulapaugh@stanredtax.com,1,solar-electric,74,70
fscriven@streethex.com,1,solar-electric,47,44
fshinko@iselectrics.com,1,solar-electric,,17
fsimilton@toughzap.com,1,solar-electric,25,78
fslusarski@dalttechnology.com,1,solar-electric,,80
fstem@isdom.com,1,wind,26,24
fstem@zotware.com,1,solar-electric,,212
ftomasulo@ron-tech.com,1,solar-electric,13,236
fvocelka@conecom.com,1,solar-electric,,120
fwalthall@ganjaflex.com,1,solar-electric,,19
fwaycott@betatech.com,1,solar-electric,,75
fwenner@j-texon.com,1,solar-electric,,35
fwhobrey@plussunin.com,1,wind,42,67
fwiklund@groovestreet.com,1,solar-electric,73,169
fwildfong@inity.com,1,solar-electric,,106
fwildfong@inity.com,2,solar-electric,,79
fwolny@yearin.com,1,solar-electric,,89
fworlds@stanredtax.com,1,solar-electric,32,42
fyori@opentech.com,1,solar-electric,,98
gamyot@nam-zim.com,1,solar-electric,,69
garceo@funholding.com,1,wind,20,52
garceo@labdrill.com,1,solar-electric,11,42
gasar@cancity.com,1,solar-electric,,77
gasar@konmatfix.com,1,solar-electric,12,29
gauffrey@hottechi.com,1,solar-electric,,22
gauffrey@konmatfix.com,1,solar-electric,14,80
gauffrey@konmatfix.com,2,solar-electric,,83
gbachman@golddex.com,1,solar-electric,,49
gbarfield@statholdings.com,1,solar-electric,25,47
gbarfield@statholdings.com,2,solar-electric,,102
gbatman@streethex.com,1,solar-electric,,70
gberray@hottechi.com,1,solar-electric,28,32
gberray@hottechi.com,2,solar-electric,28,38
gbrossart@goodsilron.com,1,solar-electric,21,22
gburnard@cancity.com,1,wind,50,58
gbutzen@streethex.com,1,wind,88,142
gbuzick@yearin.com,1,solar-electric,34,78
gcaiafa@j-texon.com,1,solar-electric,17,62
gcampain@fasehatice.com,1,wind,,89
gcanlas@ganjaflex.com,1,solar-electric,36,123
gcetta@zoomit.com,1,solar-electric,,89
gchaffins@stanredtax.com,1,solar-electric,11,85
gchui@fasehatice.com,1,wind,17,70
gcorrington@ontomedia.com,1,solar-electric,,70
gcorrington@ontomedia.com,2,wind,19,113
gcorrington@y-corporation.com,1,solar-electric,26,74
gcoyier@cancity.com,1,solar-electric,45,71
gcronauer@xx-holding.com,1,solar-electric,18,35
gdelasancha@hottechi.com,1,solar-electric,42,44
gdelasancha@hottechi.com,2,solar-electric,34,27
gdelasancha@scottech.com,1,solar-electric,37,111
gdelasancha@scottech.com,2,solar-electric,27,88
gdelasancha@sumace.com,1,solar-electric,10,51
gdilliard@groovestreet.com,1,solar-electric,18,69
gduenas@iselectrics.com,1,solar-electric,37,78
gduenas@iselectrics.com,2,solar-electric,,20
gduenas@lexiqvolax.com,1,solar-electric,,18
gehmann@cancity.com,1,solar-electric,17,131
gennaco@rundofase.com,1,wind,95,269
geroman@xx-holding.com,1,solar-electric,49,98
geschberger@donware.com,1,solar-electric,15,18
gfishburne@dambase.com,1,solar-electric,,165
gflosi@faxquote.com,1,solar-electric,108,156
ggabisi@ganjaflex.com,1,solar-electric,,102
ggellinger@codehow.com,1,wind,18,103
ggellinger@xx-zobam.com,1,solar-electric,,72
ggiguere@iselectrics.com,1,wind,,17
ggiguere@iselectrics.com,2,solar-electric,25,50
ggiguere@scotfind.com,1,solar-electric,62,63
ggiguere@singletechno.com,1,solar-electric,27,21
ggillian@scottech.com,1,solar-electric,,145
ggillian@scottech.com,2,solar-electric,15,67
gglick@sonron.com,1,solar-electric,24,17
ggood@silis.com,1,solar-electric,120,180
ggood@xx-holding.com,1,wind,24,59
ggotter@zumgoity.com,1,solar-electric,,60
ggreenbush@zotware.com,1,wind,,143
ggrenet@faxquote.com,1,solar-electric,54,93
ghagele@bioholding.com,1,solar-electric,,177
ghamilton@doncon.com,1,solar-electric,,26
ghamilton@ganjaflex.com,1,solar-electric,,32
ghoa@inity.com,1,solar-electric,22,15
ghoffis@dambase.com,1,solar-electric,,22
ghoffis@ganjaflex.com,1,wind,26,38
ghughey@golddex.com,1,solar-electric,22,95
ghughey@konex.com,1,wind,15,83
ghughey@y-corporation.com,1,solar-electric,19,22
gkannady@yearin.com,1,solar-electric,,102
gkarpel@goodsilron.com,1,solar-electric,,50
gkeener@plussunin.com,1,solar-electric,31,78
gkeener@plussunin.com,2,solar-electric,46,99
gkiel@plussunin.com,1,solar-electric,,70
gkines@zumgoity.com,1,solar-electric,12,86
gkippley@xx-holding.com,1,solar-electric,38,20
gklusman@openlane.com,1,solar-electric,,31
gkolmetz@nam-zim.com,1,solar-electric,21,42
glimmel@lexiqvolax.com,1,solar-electric,26,29
glipke@zathunicon.com,1,solar-electric,102,77
glipkin@iselectrics.com,1,solar-electric,35,24
glipkin@iselectrics.com,2,solar-electric,,38
gloader@dontechi.com,1,solar-electric,,62
glukasik@streethex.com,1,solar-electric,,107
gmadarang@dalttechnology.com,1,wind,13,150
gmadarang@lexiqvolax.com,1,solar-electric,,70
gmaybury@opentech.com,1,solar-electric,30,104
gmccullan@opentech.com,1,solar-electric,,109
gmeinerding@fasehatice.com,1,solar-electric,18,138
gmeteer@scottech.com,1,solar-electric,,19
gmeteer@scottech.com,2,solar-electric,28,120
gmiceli@yearin.com,1,solar-electric,,75
gmirafuentes@condax.com,1,solar-electric,,75
gmodzelewski@xx-holding.com,1,solar-electric,23,24
gmodzelewski@xx-holding.com,2,solar-electric,50,53
gmorasca@sunnamplex.com,1,wind,,91
gmunis@kan-code.com,1,solar-electric,57,68
gnicolozakes@dambase.com,1,solar-electric,54,136
gnievas@plexzap.com,1,solar-electric,39,80
gostrosky@zoomit.com,1,solar-electric,35,41
gostrosky@zoomit.com,2,solar-electric,,21
gpalaia@xx-zobam.com,1,solar-electric,33,56
gpedrozo@betatech.com,1,solar-electric,17,41
gperez@zumgoity.com,1,solar-electric,33,105
gperez@zumgoity.com,2,solar-electric,35,158
gperin@treequote.com,1,solar-electric,83,130
grentfro@treequote.com,1,wind,64,107
grochin@opentech.com,1,solar-electric,52,64
grodeigues@hatfan.com,1,solar-electric,,51
grodeigues@treequote.com,1,solar-electric,26,53
grodeigues@treequote.com,2,solar-electric,,22
grodenberger@lexiqvolax.com,1,solar-electric,25,117
grulapaugh@codehow.com,1,solar-electric,22,76
gryser@codehow.com,1,solar-electric,39,31
gsahagun@rangreen.com,1,solar-electric,,209
gsamu@funholding.com,1,solar-electric,16,53
gsamu@warephase.com,1,solar-electric,,117
gsamu@warephase.com,2,wind,,42
gsamu@warephase.com,3,solar-electric,34,24
gsaras@doncon.com,1,wind,24,85
gsarbacher@conecom.com,1,wind,37,24
gsarbacher@conecom.com,2,solar-electric,,15
gsarbacher@conecom.com,3,wind,25,79
gschieler@finhigh.com,1,solar-electric,51,18
gscriven@plexzap.com,1,solar-electric,,163
gshadrick@plusstrip.com,1,wind,,89
gshadrick@plusstrip.com,2,solar-electric,26,61
gshinko@silis.com,1,solar-electric,60,128
gshire@kinnamplus.com,1,solar-electric,42,104
gsilvestrini@toughzap.com,1,wind,11,45
gstoltzman@streethex.com,1,wind,46,35
gsweigard@faxquote.com,1,solar-electric,42,36
gtagala@dambase.com,1,solar-electric,35,27
gtegarden@ron-tech.com,1,solar-electric,,47
gtheodorov@funholding.com,1,solar-electric,,103
gtheodorov@funholding.com,2,solar-electric,15,46
gthyberg@ron-tech.com,1,wind,20,52
gtjepkema@codehow.com,1,solar-electric,47,227
gtomasulo@year-job.com,1,solar-electric,33,111
gtomblin@statholdings.com,1,solar-electric,39,49
gtoyama@streethex.com,1,solar-electric,,66
gtoyama@streethex.com,2,solar-electric,50,90
gtromblay@singletechno.com,1,solar-electric,,113
gvanheusen@faxquote.com,1,solar-electric,21,66
gventura@toughzap.com,1,wind,73,88
gwaycott@goodsilron.com,1,solar-electric,39,108
gweglarz@opentech.com,1,solar-electric,57,23
gwieser@bioholding.com,1,solar-electric,,67
gwiklund@cancity.com,1,solar-electric,,67
gwildfong@kan-code.com,1,solar-electric,31,66
gworlds@lexiqvolax.com,1,solar-electric,61,219
gwrinkles@hatfan.com,1,wind,51,18
gwrinkles@hatfan.com,2,solar-electric,31,156
gzagen@donware.com,1,solar-electric,10,78
gzurcher@bioplex.com,1,solar-electric,,78
hauffrey@sonron.com,1,solar-electric,15,40
hbarfield@isdom.com,1,solar-electric,10,110
hbevelacqua@inity.com,1,wind,,17
hblackwood@konex.com,1,solar-electric,34,91
hbrachle@nam-zim.com,1,solar-electric,,85
hburnard@finjob.com,1,solar-electric,57,109
hbuvens@betatech.com,1,solar-electric,21,31
hcampain@scotfind.com,1,solar-electric,66,150
hcandlish@kinnamplus.com,1,solar-electric,,56
hcanlas@gogozoom.com,1,solar-electric,,87
hchavous@gogozoom.com,1,solar-electric,27,19
hchavous@gogozoom.com,2,solar-electric,38,19
hcork@betatech.com,1,solar-electric,43,85
hcoyier@goodsilron.com,1,solar-electric,32,72
hcrupi@dontechi.com,1,solar-electric,38,56
hcrupi@dontechi.com,2,solar-electric,17,75
hdelasancha@finjob.com,1,solar-electric,,31
hdilliard@zumgoity.com,1,solar-electric,14,56
hdorshorst@ontomedia.com,1,solar-electric,28,123
hdubaldi@green-plus.com,1,solar-electric,11,87
hfillingim@opentech.com,1,solar-electric,27,121
hfrerking@bioplex.com,1,solar-electric,60,190
hfunnell@zencorporation.com,1,solar-electric,,109
hgato@ontomedia.com,1,solar-electric,10,22
hgesick@betasoloin.com,1,wind,31,56
hhanafan@warephase.com,1,solar-electric,62,59
hheintzman@zencorporation.com,1,solar-electric,,43
hhirpara@dalttechnology.com,1,solar-electric,21,115
hhoffis@zumgoity.com,1,solar-electric,48,50
hhoneywell@labdrill.com,1,solar-electric,,67
hhoneywell@labdrill.com,2,wind,35,22
hhughey@ganjaflex.com,1,solar-electric,,89
hhughey@ganjaflex.com,2,solar-electric,18,40
hkalafatis@openlane.com,1,wind,68,179
hkippley@faxquote.com,1,solar-electric,,59
hkippley@hottechi.com,1,solar-electric,,72
hkippley@hottechi.com,2,solar-electric,,87
hklonowski@plexzap.com,1,solar-electric,,126
hkownacki@kan-code.com,1,solar-electric,41,24
hlinahan@scottech.com,1,wind,,50
hlizama@zoomit.com,1,solar-electric,39,18
hlouissant@j-texon.com,1,wind,18,34
hlukasik@betatech.com,1,solar-electric,97,71
hmaillard@doncon.com,1,wind,11,118
hmaillard@doncon.com,2,solar-electric,26,76
hmalet@funholding.com,1,solar-electric,,18
hmalvin@scotfind.com,1,solar-electric,,80
hmastella@goodsilron.com,1,solar-electric,44,62
hmastella@goodsilron.com,2,solar-electric,30,70
hmonterrubio@konex.com,1,solar-electric,29,59
hnachor@green-plus.com,1,solar-electric,41,70
hnayar@finhigh.com,1,solar-electric,,61
hpadilla@zathunicon.com,1,solar-electric,17,157
hpaprocki@betatech.com,1,solar-electric,104,136
hpoullion@zoomit.com,1,solar-electric,30,98
hrim@dalttechnology.com,1,solar-electric,12,105
hsaulter@ontomedia.com,1,solar-electric,73,180
hsayaphon@yearin.com,1,solar-electric,,22
hschmierer@plusstrip.com,1,wind,36,148
hstorment@lexiqvolax.com,1,solar-electric,35,78
